prob	sat	deduped_reads	total_reads
1e-06	0	154	154
3.16227766016838e-06	0.0122950819672131	482	488
1e-05	0.0350421804023362	1487	1541
3.16227766016838e-05	0.0990139687756779	4386	4868
1e-04	0.26363518590491	11368	15438
0.000316227766016838	0.525142880638132	23098	48642
0.001	0.77825101415572	33946	153083
0.00316227766016838	0.920250802019092	38755	485961
0.01	0.973999639010576	39902	1534671
0.0316227766016838	0.991688875031859	40305	4849524
0.1	0.997363219581547	40465	15346367
0.2	0.998679925516509	40500	30680087
0.288888888888889	0.999086125104554	40500	44316788
0.377777777777778	0.999301077787645	40503	57950655
0.466666666666667	0.999434126289566	40502	71574274
0.555555555555556	0.999524704577662	40503	85216474
0.644444444444445	0.99959025111467	40503	98848347
0.733333333333333	0.999639924638342	40503	112484786
0.822222222222222	0.999678841573316	40503	126115327
0.911111111111111	0.999710174777997	40503	139749742
1	0.99973593394832	40503	153382079
