prob	sat	deduped_reads	total_reads
0.1	0.0444509703434247	36270882	37958159
0.2	0.0775109416963027	70022210	75905735
0.3	0.104754116064944	101945604	113874418
0.4	0.128326289961165	132352383	151837071
0.5	0.149595871989864	161402187	189794689
0.6	0.168947080400773	189282059	227761740
0.7	0.186954285784398	216023986	265697220
0.8	0.203829661756817	241792966	303695019
0.9	0.219756005696828	266570189	341649780
1	0.234857127573676	290453761	379607223
